Files	Filesizes	Extracted Text	Metadata
8734	98.9977116705	0	1.0022883295
8735	98.9753267413	0	1.0246732587
8736	98.9479920579	0	1.0520079421
8737	99.0059762463	0	0.9940237537
8738	99.0074479175	0	0.9925520825
8739	98.9977269607	0	1.0022730393
8740	99.0074479175	0	0.9925520825
8741	98.9230037867	0	1.0769962133
8742	99.0074479175	0	0.9925520825
8743	98.9835228591	0	1.0164771409
8744	91.8697932737	5.3108608454	2.8193458809
8745	99.0074479175	0	0.9925520825
8746	99.0074479175	0	0.9925520825
8747	99.0074479175	0	0.9925520825
8748	98.9587955626	0	1.0412044374
8749	99.0074479175	0	0.9925520825
8750	99.0044565299	0.0030213762	0.9925220938
8751	98.9481268012	0	1.0518731989
8752	99.0074479175	0	0.9925520825
8753	99.0074479175	0	0.9925520825
8754	99.0074479175	0	0.9925520825
8755	99.0066976097	0	0.9933023903
8756	98.6803618801	0	1.3196381199
8757	98.9941978843	0	1.0058021157
8758	99.0074479175	0	0.9925520825
8759	98.7862293338	0	1.2137706662
8760	98.9061151318	0.0033198327	1.0905650355
8761	98.9825468849	0	1.0174531151
8762	98.9941978843	0	1.0058021157
8763	93.1814302782	1.113671275	5.7048984468
8764	99.0074479175	0	0.9925520825
8765	99.0074479175	0	0.9925520825
8766	98.9511996552	0	1.0488003448
8767	99.0074479175	0	0.9925520825
8768	99.0074479175	0	0.9925520825
8769	99.0074479175	0	0.9925520825
8770	99.0074479175	0	0.9925520825
8771	98.9736139101	0	1.0263860899
8772	99.9670608534	0	0.0329391466
8773	99.3471175239	0.1094833691	0.5433991071
8774	98.9974210679	0	1.0025789321
8775	99.0074479175	0	0.9925520825
8776	99.008943679	0	0.991056321
8777	98.88029904	0.003398182	1.116302778
8778	98.9979715406	0	1.0020284594
8779	99.0074479175	0	0.9925520825
8780	98.9962569704	0	1.0037430296
8781	90.3640644811	1.5637263781	8.0722091409
8782	98.9965788991	0	1.0034211009
8783	99.0074479175	0	0.9925520825
8784	99.0074479175	0	0.9925520825
8785	99.0074479175	0	0.9925520825
8786	99.0074479175	0	0.9925520825
8787	99.006517367	0	0.993482633
8788	98.8743639385	0	1.1256360615
8789	99.0052990159	0	0.9947009841
8790	98.9941978843	0	1.0058021157
8791	99.0074479175	0	0.9925520825
8792	99.9669609194	0.000099967	0.0329391136
8793	98.8990733448	0	1.1009266552
8794	99.0074479175	0	0.9925520825
8795	98.9751509196	0	1.0248490804
8796	98.9951055369	0	1.0048944631
8797	99.0074479175	0	0.9925520825
8798	99.0074479175	0	0.9925520825
8799	98.9979256909	0	1.0020743091
8800	99.006231849	0	0.993768151
8801	99.0074479175	0	0.9925520825
8802	99.0074479175	0	0.9925520825
8803	99.0074479175	0	0.9925520825
8804	81.5726636476	8.0773981062	10.3499382462
8805	98.8278299749	0	1.1721700251
8806	98.9838215733	0	1.0161784267
8807	99.0074479175	0	0.9925520825
8808	99.0044565299	0.0030213762	0.9925220938
8809	99.0074479175	0	0.9925520825
8810	99.0074479175	0	0.9925520825
8811	99.0074479175	0	0.9925520825
8812	99.0074479175	0	0.9925520825
8813	99.9670608534	0	0.0329391466
8814	98.926312693	0	1.073687307
8815	99.0074479175	0	0.9925520825
8816	93.1481094631	1.2659285565	5.5859619804
8817	99.0044565299	0.0030213762	0.9925220938
8818	98.2505410272	0.6641005732	1.0853583996
8819	99.0074479175	0	0.9925520825
8820	99.0074479175	0	0.9925520825
8821	98.906603648	0	1.093396352
8822	98.9941978843	0	1.0058021157
8823	98.8720836409	0	1.1279163591
8824	98.9941978843	0	1.0058021157
8825	98.9712353006	0	1.0287646994
8826	98.9708807819	0	1.0291192181
8827	98.974863081	0	1.025136919
8828	99.0074479175	0	0.9925520825
8829	98.9834127623	0	1.0165872377
8830	99.0074479175	0	0.9925520825
8831	98.9978034047	0	1.0021965953
8832	98.9747191011	0	1.0252808989
8833	98.9979715406	0	1.0020284594
8834	99.0058107863	0	0.9941892137
8835	98.8992209098	0	1.1007790902
8836	99.0004868253	0	0.9995131747
8837	99.0044565299	0.0030213762	0.9925220938
8838	98.97531076	0	1.02468924
8839	99.0074479175	0	0.9925520825
8840	98.9941978843	0	1.0058021157
8841	99.0074479175	0	0.9925520825
8842	99.0074479175	0	0.9925520825
8843	99.0074479175	0	0.9925520825
