Files	filesize	extracted text	metadata
141	57.2111553785	6.8525896414	35.9362549801
142	59.280997799	6.7498165811	33.96918562
143	56.8985176739	9.0649942988	34.0364880274
144	65.4359780047	4.1633935585	30.4006284368
145	61.6488651535	33.9675122385	4.3836226079
146	63.6861313869	3.5583941606	32.7554744526
147	74.5170193192	6.25574977	19.2272309108
148	58.6479367867	5.6189640035	35.7330992098
149	54.4907295931	43.1254514809	2.3838189261
150	68.2140047207	3.2258064516	28.5601888277
151	61.8274978651	4.7822374039	33.390264731
152	63.0940343782	2.8311425683	34.0748230536
153	72.9392173189	14.2381348876	12.8226477935
154	58.0702875399	25.750798722	16.178913738
155	76.833976834	6.864006864	16.302016302
156	72.9643581571	14.2857142857	12.7499275572
157	60.8792431831	7.8464106845	31.2743461324
158	72.6798199406	25.2657791399	2.0544009195
159	62.5	5.8571428571	31.6428571429
160	59.5034910784	6.2839410396	34.2125678821
161	60.3686635945	6.0675883257	33.5637480799
162	56.253928347	8.7366436204	35.0094280327
163	59.8290598291	6.7663817664	33.4045584046
164	54.9138726546	41.2565364503	3.8295908951
165	83.4843708957	14.158129761	2.3574993433
166	58.544072504	37.0998392048	4.3560882912
167	68.6316695353	11.3166953528	20.0516351119
168	61.8845500849	4.753820034	33.3616298812
169	52.6150627615	6.0669456067	41.3179916318
170	77.936898635	10.9196688297	11.1434325352
171	78.4442903375	20.3606102635	1.195099399
172	54.8367593712	9.4316807739	35.7315598549
173	60.0258732212	7.3091849935	32.6649417853
174	78.4674657534	4.2380136986	17.2945205479
175	63.717693837	2.7833001988	33.4990059642
176	64.829586657	4.9311094996	30.2393038434
177	65.5563966692	4.3906131718	30.052990159
178	73.9272846381	19.0632165084	7.0094988536
179	60.7411696584	13.7811233353	25.4777070064
180	93.9583871801	1.4086327216	4.6329800982
181	60.8294930876	5.9139784946	33.2565284178
182	47.049924357	3.4795763994	49.4704992436
183	58.9077887198	5.3715308863	35.7206803939
184	62.1134020619	4.6391752577	33.2474226804
185	85.5825864277	7.0934699104	7.323943662
186	70.3765490944	19.0896091516	10.5338417541
187	89.0246000344	7.8036297953	3.1717701703
188	62.2088006903	4.572907679	33.2182916307
189	67.4066599395	1.4127144299	31.1806256307
190	74.6859004188	7.5383899488	17.7757096324
191	59.9361022364	7.4121405751	32.6517571885
192	66.5284974093	1.4507772021	32.0207253886
193	61.8165784832	29.3650793651	8.8183421517
194	60.6986899563	4.9781659389	34.3231441048
195	83.0492057342	8.54320031	8.4075939558
196	63.548951049	4.020979021	32.4300699301
197	66.2889239259	28.6657469452	5.0453291289
198	82.9456145866	11.804464005	5.2499214084
199	50.3448275862	10.1379310345	39.5172413793
200	60.3693181818	6.6051136364	33.0255681818
201	70.0847079804	9.4070441373	20.5082478823
202	67.0089285714	11.1160714286	21.875
203	85.9664555477	12.1979826413	1.8355618109
204	53.5932362612	11.0850164396	35.3217472992
205	65.5281969817	4.0508339952	30.420969023
206	61.7021276596	6.170212766	32.1276595745
207	79.3349168646	13.4996041172	7.1654790182
208	69.6636925189	3.7062457104	26.6300617708
209	53.8424821002	10.9307875895	35.2267303103
210	66.1351556568	4.1761579347	29.6886864085
211	61.8587608261	11.4257161892	26.7155229847
212	56.2802440564	17.420576478	26.2991794656
213	62.8419452888	5.3191489362	31.8389057751
214	70.1055284297	26.7916207277	3.1028508427
215	62.9441624365	2.8426395939	34.2131979695
216	74.085725521	18.4689998689	7.44527461
217	84.2686215032	12.0997640715	3.6316144254
218	89.2085076709	4.4543235704	6.3371687587
219	69.987000325	27.2668183295	2.7461813455
220	46.1005199307	1.733102253	52.1663778163
221	68.025751073	15.2973635806	16.6768853464
222	60.433604336	4.7877145438	34.7786811201
223	71.6921119593	3.4987277354	24.8091603053
